State abbreviation,State name,Agency type,FY,Average hours worked per week,Average hourly wage,Average Weekly Wages,Average time to close months no employment,Average time to close months with employment,Employed at application,Employment includes medical insurance,Number closed no employment,Number closed with employment,Number served,Primary support is own income at application,Primary support is own income at closure,Significant disability served,Significant disability employed,Sum costserv no empl,Sum costserv with empl,Total hours,Total wage,Works more than 35 hrs week,Works more than 35 hrs week SGA,Exited as applicant,Exited during or after_trial work,Exited without employment after IPE,Exited from OOS waiting list,Exited without employment after eligibility,Employment outcomes meeting SGA
OK,Oklahoma,Combined,2012,33.53,10.32,346.03,48.6,40.7,535,316,"1,366","1,093","2,459",222,"2,594","2,232",953,"4,957,015","8,088,293","36,650","11,276",661,661,449,19,305,42,384,"1,077"
OK,Oklahoma,Combined,2011,33.66,9.85,331.55,47,44,450,320,866,950,"1,816",201,"2,080","1,613",806,"2,769,352","6,650,287","31,981","9,355",601,593,429,13,213,0,698,681
OK,Oklahoma,Combined,2010,33.72,10.19,343.61,50,48.8,415,285,392,847,"1,239",198,"1,435","1,115",736,"1,543,263","6,339,967","28,561","8,630",543,531,351,10,111,0,475,606
OK,Oklahoma,Combined,2009,34.83,10.74,374.07,48.3,52.8,516,317,619,789,"1,408",230,"1,338","1,274",686,"2,069,116","6,650,642","27,481","8,474",537,514,218,13,159,67,697,566
OK,Oklahoma,Combined,2008,36.25,10.62,384.98,43.5,48.5,418,427,608,978,"1,586",243,"1,155","1,380",832,"1,834,329","7,571,359","35,451","10,382",735,713,230,4,189,60,185,762
OK,Oklahoma,Combined,2007,36.44,10.48,381.89,38.5,46.3,623,435,"1,330",825,"2,155",336,"1,165","2,028",749,"3,254,628","6,226,750","30,062","8,644",624,584,323,2,73,16,462,637
OK,Oklahoma,Combined,2006,36.46,9.72,354.39,46.9,46.5,979,539,"2,316",903,"3,219",544,"1,465","3,054",850,"5,051,403","5,425,699","32,922","8,777",685,671,353,4,75,111,717,722
OK,Oklahoma,Combined,2004,36.2,9.09,329.06,41.1,43,837,477,"1,479",845,"2,324",463,"1,410","2,131",745,"3,210,838","4,268,298","30,585","7,683",640,634,0,0,0,0,0,0
OK,Oklahoma,Combined,2005,36.75,9.5,349.13,42.8,44.7,"1,005",523,"1,708",843,"2,551",519,"1,339","2,386",770,"3,723,080","4,842,171","30,984","8,009",660,639,0,0,0,0,0,0
OK,Oklahoma,Combined,2002,36,8.97,322.92,39.2,42.5,931,584,"1,233","1,061","2,294",565,997,"2,034",901,"2,117,043","4,757,484","38,796","9,563",806,782,0,0,0,0,0,0
OK,Oklahoma,Combined,2003,36.26,9.28,336.49,40.5,40.8,895,496,"1,311",882,"2,193",529,"1,035","1,911",722,"2,714,186","4,149,064","31,980","8,185",676,655,0,0,0,0,0,0
OR,Oregon,General,2003,29.03,7.8,226.43,17.5,16.6,240,143,344,532,876,79,"1,181",850,513,"593,613","1,199,226","15,442","4,147",234,231,0,0,0,0,0,0
OR,Oregon,Blind,2003,18.67,5.03,93.91,62.3,55.8,4,2,16,9,25,2,6,25,9,"72,445","65,393",168,45,3,2,0,0,0,0,0,0
OR,Oregon,General,2002,29.02,7.38,214.17,17.5,16,223,136,299,504,803,111,"1,047",783,491,"625,228","1,046,404","14,628","3,721",216,214,0,0,0,0,0,0
OR,Oregon,Blind,2002,30.91,7.58,234.30,42.3,70.7,4,4,10,11,21,2,8,21,11,"14,395","87,883",340,83,7,5,0,0,0,0,0,0
OR,Oregon,Blind,2005,27.33,10.82,295.71,74.3,80.1,4,8,4,24,28,4,15,28,24,"11,509","456,184",656,260,10,7,0,0,0,0,0,0
OR,Oregon,General,2005,28.88,7.92,228.73,19.4,17.6,219,170,310,558,868,60,"1,026",830,533,"661,612","1,554,609","16,114","4,419",237,234,0,0,0,0,0,0
OR,Oregon,Blind,2004,23.95,11.79,282.37,57.7,89.7,6,7,5,22,27,4,15,27,22,"32,310","305,918",527,259,7,5,0,0,0,0,0,0
OR,Oregon,General,2004,27.53,7.91,217.76,20.7,17.4,227,161,362,554,916,89,"1,106",895,537,"774,796","1,337,419","15,250","4,380",205,201,0,0,0,0,0,0
OR,Oregon,Blind,2006,18.96,9.77,185.24,97,51.9,1,2,7,25,32,2,13,32,25,"79,269","276,973",499,253,5,4,5,0,0,0,3,4
OR,Oregon,General,2006,27.47,8.29,227.73,20.3,16.8,252,166,330,673,"1,003",75,"1,182",878,581,"786,768","1,797,471","18,485","5,582",248,246,189,9,25,0,785,372
OR,Oregon,Blind,2007,25.79,10.24,264.09,80.7,69.9,2,8,4,34,38,3,23,37,34,"87,610","438,807",877,348,13,10,1,0,2,0,0,10
OR,Oregon,General,2007,27.78,8.6,238.91,20.7,16.9,268,129,316,623,939,76,"1,009",808,527,"726,816","1,708,964","17,304","5,360",254,253,201,3,38,0,627,335
OR,Oregon,Blind,2008,24.88,11.99,298.31,97.4,79.6,7,5,67,24,91,4,19,91,24,"507,632","233,009",597,288,8,7,2,1,5,0,19,9
OR,Oregon,General,2008,27.92,8.89,248.21,18.9,16.9,250,132,343,590,933,78,943,852,532,"810,227","1,839,677","16,470","5,246",240,239,175,3,39,0,532,327
OR,Oregon,Blind,2009,23.65,9.92,234.61,92.6,67,3,6,6,17,23,3,10,22,16,"79,949","157,643",402,169,7,7,3,1,0,0,5,7
OR,Oregon,General,2009,26.74,9.05,242.00,21.4,17.1,195,61,339,416,755,58,831,729,401,"993,366","1,107,159","11,124","3,763",146,144,131,3,47,90,266,200
OR,Oregon,Blind,2010,20.12,12.43,250.09,96,67.4,3,5,11,17,28,1,10,28,17,"84,797","166,813",342,211,6,6,7,1,0,0,7,8
OR,Oregon,General,2010,25.68,9.51,244.22,23.8,23,177,42,280,298,578,31,799,575,297,"656,667","1,107,283","7,653","2,833",92,92,100,0,48,21,648,139
