State abbreviation,State name,Agency type,FY,Average hours worked per week,Average hourly wage,Average Weekly Wages,Average time to close months no employment,Average time to close months with employment,Employed at application,Employment includes medical insurance,Number closed no employment,Number closed with employment,Number served,Primary support is own income at application,Primary support is own income at closure,Significant disability served,Significant disability employed,Sum costserv no empl,Sum costserv with empl,Total hours,Total wage,Works more than 35 hrs week,Works more than 35 hrs week SGA,Exited as applicant,Exited during or after_trial work,Exited without employment after IPE,Exited from OOS waiting list,Exited without employment after eligibility,Employment outcomes meeting SGA
OR,Oregon,Blind,2011,28.56,14.16,404.41,82.5,84,3,4,8,16,24,1,15,24,16,"111,182","275,837",457,227,9,8,8,0,0,0,6,8
OR,Oregon,General,2011,23.97,9.27,222.20,24.9,21,179,53,299,439,738,42,939,729,433,"818,233","1,486,482","10,521","4,070",109,109,97,0,46,0,654,172
OR,Oregon,Blind,2012,16.07,7.12,114.42,65.7,86.3,1,1,10,14,24,1,4,24,14,"48,937","202,975",225,100,0,0,7,0,0,0,4,10
OR,Oregon,General,2012,22.6,9.35,211.31,23.2,19.5,150,41,318,491,809,24,"1,005",784,477,"742,842","1,973,616","11,099","4,590",102,102,117,0,35,0,579,491
OR,Oregon,General,2013,23.42,9.59,224.60,23,17.8,160,52,361,569,930,33,982,910,556,"898,124","2,229,158","13,324","5,457",127,127,97,2,57,0,560,569
OR,Oregon,Blind,2013,21,12.58,264.18,113.2,98.5,3,6,4,13,17,1,9,17,13,"48,721","451,765",273,164,6,6,2,1,0,0,4,10
OR,Oregon,General,2014,23.06,9.76,225.07,21.9,17.8,161,41,336,618,954,45,584,949,616,"251,388","736,249","14,253","6,035",142,142,96,1,54,0,557,618
OR,Oregon,Blind,2014,24.29,11.17,271.32,67.7,80.3,4,1,1,7,8,3,7,8,7,"12,310","87,535",170,78,1,1,5,0,0,0,4,6
PA,Pennsylvania,Combined,2013,31.8,10.59,336.76,37.6,42.7,"1,325",807,"3,069","3,724","6,793",787,"3,653","6,793","3,724","9,643,646","23,821,804","118,414","39,420","1,995","1,995","1,523",168,1,55,"1,241","3,721"
PA,Pennsylvania,Combined,2014,31.63,10.87,343.82,38.7,42.8,"1,187",733,"2,440","3,329","5,769",934,"3,313","5,769","3,329","11,275,097","29,672,368","105,282","36,189","1,719","1,719","1,152",142,2,31,952,"3,324"
PA,Pennsylvania,Combined,2012,31.94,10.68,341.12,37.2,40.6,"1,336",795,"3,176","3,530","6,706",846,"3,451","6,705","3,529","9,053,575","21,896,737","112,744","37,692","1,888","1,888","1,489",81,3,10,"1,088","3,518"
PA,Pennsylvania,Combined,2011,31.89,10.5,334.85,37.8,39.8,"1,250",852,"3,429","3,254","6,683",815,"3,258","6,682","3,254","10,650,135","20,934,488","103,785","34,157","1,781","1,745","1,428",61,15,50,"1,302","2,130"
PA,Pennsylvania,Combined,2010,31.46,10.29,323.72,38.5,40.9,"1,181",106,"2,913","3,317","6,230",798,"3,299","6,230","3,317","7,841,996","20,085,857","104,369","34,146","1,749","1,713","1,341",79,12,54,"1,311","2,095"
PA,Pennsylvania,Combined,2009,31.83,10.19,324.35,37,40.4,"1,088",73,"2,445","3,328","5,773",760,"3,288","5,771","3,326","7,389,591","20,535,270","105,938","33,900","1,840","1,803","1,153",49,23,188,982,"2,169"
PA,Pennsylvania,Combined,2008,32.37,9.89,320.14,34,38.4,938,63,"2,327","3,266","5,593",639,"3,232","5,587","3,263","6,277,772","20,094,732","105,706","32,316","1,884","1,825",866,38,10,221,885,"2,179"
PA,Pennsylvania,Combined,2007,33.12,9.22,305.37,36.1,37.4,"1,182","1,292","2,620","3,880","6,500",860,"3,835","6,499","3,879","10,469,748","28,579,497","128,493","35,792","2,394","2,318",947,66,26,272,"1,176","2,666"
PA,Pennsylvania,Combined,2006,33.08,9.08,300.37,37.5,38.4,"1,146","1,219","2,598","3,657","6,255",875,"3,700","6,249","3,655","9,182,723","26,942,846","120,991","33,204","2,228","2,181","1,164",65,20,274,"1,392","2,559"
PA,Pennsylvania,Combined,2004,32.88,8.34,274.22,37.2,36.2,"1,030","1,185","2,271","3,528","5,799",866,"3,583","5,791","3,523","8,535,452","25,445,915","116,008","29,414","2,137","2,098",0,0,0,0,0,0
PA,Pennsylvania,Combined,2005,32.87,8.61,283.01,36.6,37.1,"1,027","1,159","2,648","3,422","6,070",782,"3,452","6,064","3,417","10,296,243","25,066,944","112,481","29,474","2,064","2,021",0,0,0,0,0,0
PA,Pennsylvania,Combined,2002,33.48,8.1,271.19,36.5,37,"1,326","1,225","1,759","3,589","5,348","1,338","3,647","5,323","3,570","6,173,349","22,746,322","120,168","29,080","2,293","2,248",0,0,0,0,0,0
PA,Pennsylvania,Combined,2003,33.01,8.27,272.99,36.5,36.8,"1,050","1,212","1,881","3,563","5,444",836,"3,597","5,426","3,552","7,454,978","23,771,051","117,610","29,480","2,187","2,145",0,0,0,0,0,0
PR,Puerto Rico,Combined,2003,32.25,7.3,235.43,55,61.5,141,378,486,"1,385","1,871",100,"1,402","1,147",846,"2,239,899","12,161,620","44,666","10,114",838,752,0,0,0,0,0,0
PR,Puerto Rico,Combined,2002,33.83,7.44,251.70,48,60.3,125,373,393,"1,293","1,686",86,"1,307",980,760,"1,632,912","10,041,488","43,743","9,621",876,795,0,0,0,0,0,0
PR,Puerto Rico,Combined,2004,33.33,7.95,264.97,55.6,60.1,104,384,427,"1,486","1,913",67,"1,499","1,273",993,"3,144,996","16,450,589","49,528","11,815",946,876,0,0,0,0,0,0
PR,Puerto Rico,Combined,2005,32.9,7.71,253.66,62.7,62.6,134,652,501,"1,819","2,320",75,"1,842","1,644","1,312","2,682,055","14,982,117","59,841","14,019","1,098","1,010",0,0,0,0,0,0
PR,Puerto Rico,Combined,2006,32.63,7.63,248.97,61.1,61.5,121,490,473,"1,727","2,200",81,"1,742","1,554","1,221","2,105,814","14,172,369","56,348","13,175","1,017",939,"1,435",21,14,0,622,"1,064"
PR,Puerto Rico,Combined,2007,32.65,7.66,250.10,61.6,59.6,111,470,393,"1,635","2,028",75,"1,645","1,475","1,197","1,600,663","13,176,031","53,388","12,520",920,678,"1,541",16,15,0,638,768
PR,Puerto Rico,Combined,2008,32.91,8.19,269.53,67,58.4,100,429,460,"1,617","2,077",68,"1,637","1,556","1,232","1,969,696","13,203,491","53,221","13,248",936,859,"1,607",26,15,0,800,962
PR,Puerto Rico,Combined,2009,31.95,8.55,273.17,65.5,55.8,97,332,507,"1,590","2,097",75,"1,593","1,627","1,256","2,348,571","11,562,412","50,793","13,595",846,806,"1,828",33,16,0,901,933
PR,Puerto Rico,Combined,2010,31.47,8.75,275.36,63.9,57,99,288,560,"1,763","2,323",85,"1,795","1,787","1,389","2,379,645","13,600,090","55,480","15,433",844,798,"1,773",48,48,0,"1,606",951
PR,Puerto Rico,Combined,2011,31.77,8.49,269.73,62.9,56.9,55,354,625,"1,904","2,529",51,"1,904","2,055","1,563","2,796,202","14,632,241","60,487","16,170",954,919,"1,372",30,115,0,"1,135","1,068"
PR,Puerto Rico,Combined,2012,32.67,8.65,282.60,60.9,58.3,68,408,626,"2,119","2,745",36,"2,133","2,321","1,814","2,515,358","17,432,637","69,224","18,336","1,153","1,153","1,352",40,198,0,439,"2,113"
PR,Puerto Rico,Combined,2014,32.47,8.84,287.03,63.7,59.3,48,0,985,"2,319","3,304",88,"2,337","2,878","2,034","3,752,871","18,796,595","75,303","20,510","1,253","1,253","1,365",27,81,0,317,"2,310"
PR,Puerto Rico,Combined,2013,32.59,8.77,285.81,61.6,57.4,47,471,790,"2,250","3,040",19,"2,237","2,626","1,968","3,210,223","17,374,231","73,325","19,732","1,261","1,261","1,198",20,86,0,247,"2,238"
RI,Rhode Island,Combined,2013,27.1,10.09,273.44,32.9,33.4,88,42,179,225,404,55,187,394,225,"676,030","1,715,604","6,098","2,270",68,68,140,1,108,6,181,225
RI,Rhode Island,Combined,2014,27.74,10.13,281.01,33,33.3,98,48,155,235,390,49,217,390,235,"496,621","1,586,940","6,518","2,381",71,71,120,1,147,5,128,235
RI,Rhode Island,Combined,2012,26.68,9.42,251.33,47.2,37.3,103,53,614,242,856,58,221,844,237,"2,525,780","1,720,410","6,456","2,281",74,74,172,5,152,11,256,241
RI,Rhode Island,Combined,2011,25.74,9.36,240.93,38.1,30.4,103,16,173,286,459,69,260,459,286,"567,115","1,480,764","7,363","2,676",91,91,127,2,63,12,166,137
RI,Rhode Island,Combined,2010,25.19,9.91,249.63,50,33.8,94,10,349,187,536,52,179,535,187,"1,131,256","1,057,991","4,710","1,853",52,52,100,2,93,5,252,88
RI,Rhode Island,Combined,2009,26.21,9.6,251.62,42.5,33.2,97,18,175,275,450,57,229,450,275,"377,239","1,590,338","7,207","2,640",90,89,75,8,42,2,180,137
RI,Rhode Island,Combined,2008,27.78,9.12,253.35,57.1,31.6,98,28,150,274,424,62,238,424,274,"430,651","1,116,605","7,613","2,499",105,105,58,4,63,6,247,150
RI,Rhode Island,Combined,2007,27.24,9.17,249.79,55.5,38.3,113,32,185,269,454,64,257,454,269,"534,323","1,005,607","7,328","2,467",99,97,68,2,33,6,326,141
RI,Rhode Island,Combined,2006,28.28,9.14,258.48,58.2,40.6,122,31,201,259,460,52,247,459,259,"540,335","1,163,939","7,324","2,366",111,110,49,2,33,9,398,148
RI,Rhode Island,Combined,2005,28.03,8.67,243.02,68.3,37.1,113,30,158,233,391,51,241,391,233,"354,810","1,070,766","6,531","2,019",103,101,0,0,0,0,0,0
RI,Rhode Island,Combined,2004,27.1,8.42,228.18,75.5,41.2,82,30,150,174,324,47,174,323,174,"415,326","681,023","4,715","1,465",66,65,0,0,0,0,0,0
RI,Rhode Island,Combined,2002,26.53,8.55,226.83,47.9,53.9,48,13,63,188,251,31,148,249,187,"154,191","1,140,158","4,987","1,608",67,64,0,0,0,0,0,0
RI,Rhode Island,Combined,2003,29.25,8.93,261.20,67.5,48.2,75,22,123,181,304,34,167,303,181,"494,249","837,313","5,295","1,617",83,82,0,0,0,0,0,0
SC,South Carolina,General,2003,34.65,7.53,260.91,25.3,21.8,650,217,"1,098","1,710","2,808",718,"1,886","2,501","1,505","1,175,808","3,047,844","59,253","12,873","1,093","1,082",0,0,0,0,0,0
SC,South Carolina,Blind,2003,24.14,6,144.84,52.9,67,12,7,41,42,83,9,26,79,40,"190,561","439,927","1,014",252,18,9,0,0,0,0,0,0
SC,South Carolina,General,2002,34.9,7.6,265.24,24.6,22.6,696,215,"1,633","1,521","3,154",937,"1,693","2,732","1,312","2,159,608","3,146,819","53,089","11,557",991,982,0,0,0,0,0,0
SC,South Carolina,Blind,2002,27.44,6.7,183.85,57.3,59.2,12,9,24,27,51,9,20,45,24,"51,013","197,610",741,181,13,4,0,0,0,0,0,0
SC,South Carolina,Blind,2004,32.25,7.54,243.17,39.9,43.9,14,9,19,24,43,13,22,40,21,"77,327","150,846",774,181,16,8,0,0,0,0,0,0
SC,South Carolina,General,2004,34.76,7.59,263.83,27.5,22.1,594,189,"1,228","1,732","2,960",587,"1,850","2,702","1,593","1,553,357","3,098,064","60,208","13,141","1,113","1,098",0,0,0,0,0,0
SC,South Carolina,Blind,2005,32.75,9.15,299.66,49.7,57.8,9,7,52,20,72,6,18,71,19,"82,035","189,292",655,183,13,8,0,0,0,0,0,0
SC,South Carolina,General,2005,35.25,7.77,273.89,31.5,23.1,520,164,"1,108","1,686","2,794",500,"1,805","2,582","1,562","1,370,322","3,086,127","59,425","13,099","1,103","1,085",0,0,0,0,0,0
SC,South Carolina,Blind,2006,28.76,8.14,234.11,74.4,82.4,3,5,24,17,41,4,15,40,16,"96,011","200,883",489,138,10,8,6,1,0,0,0,8
SC,South Carolina,General,2006,35.58,7.85,279.30,35.3,24.4,520,181,"1,271","1,732","3,003",463,"1,828","2,807","1,615","1,437,649","3,444,388","61,623","13,594","1,197","1,163",793,13,0,0,594,"1,322"
SC,South Carolina,Blind,2007,31.07,7,217.49,64.7,38.1,10,0,24,15,39,8,13,36,15,"42,944","57,932",466,105,8,2,3,0,0,0,4,2
SC,South Carolina,General,2007,35.3,8.14,287.34,32.7,23.6,558,158,"1,329","1,876","3,205",479,"1,994","3,056","1,788","1,457,419","3,338,249","66,219","15,264","1,246","1,191",739,11,0,0,605,"1,373"
SC,South Carolina,Blind,2008,29.61,9.73,288.11,57.9,75.3,10,1,43,18,61,11,14,60,18,"72,068","166,101",533,175,11,7,2,0,0,0,3,8
SC,South Carolina,General,2008,35,8.47,296.45,34.4,22.2,632,121,"2,163","1,795","3,958",500,"1,877","3,835","1,747","2,407,545","3,038,930","62,826","15,204","1,200","1,154",803,20,0,0,876,"1,299"
SC,South Carolina,Blind,2009,31.75,8.74,277.50,55.7,42.5,11,0,51,16,67,12,16,63,15,"131,910","64,710",508,140,10,7,7,0,0,0,2,8
SC,South Carolina,General,2009,33.58,8.46,284.09,29,22,622,123,"1,955","1,748","3,703",458,"1,824","3,551","1,673","1,871,261","2,264,296","58,706","14,789","1,007","1,006",544,35,0,0,"1,045","1,153"
SC,South Carolina,Blind,2010,24.64,6.61,162.87,71.1,38.7,11,1,36,14,50,10,10,50,14,"143,216","108,181",345,92,7,2,12,0,0,0,0,2
SC,South Carolina,General,2010,33.06,8.61,284.65,28.5,21.4,499,99,"1,845","1,609","3,454",378,"1,649","3,322","1,545","1,678,946","1,964,427","53,189","13,847",835,834,514,27,0,0,"1,256","1,027"
SC,South Carolina,Blind,2011,22.92,8.17,187.26,56.4,76.6,9,0,26,12,38,8,12,38,12,"122,150","69,249",275,98,3,2,15,0,0,0,4,2
SC,South Carolina,General,2011,34.34,8.81,302.54,29,21.6,399,90,"1,598","1,540","3,138",342,"1,589","2,986","1,450","1,954,001","2,765,890","52,882","13,563",912,911,480,17,0,0,"1,120","1,087"
SC,South Carolina,Blind,2012,27,10.65,287.55,48.2,36.7,6,2,20,14,34,3,11,34,14,"31,921","137,928",378,149,7,7,7,0,0,0,1,11
SC,South Carolina,General,2012,34.02,8.84,300.74,31.5,25.3,358,106,"1,439","1,488","2,927",292,"1,465","2,747","1,387","1,853,614","3,022,323","50,624","13,161",859,859,406,39,0,0,990,"1,485"
SC,South Carolina,General,2013,33.84,8.88,300.50,32.3,26.7,374,67,"1,287","1,426","2,713",304,"1,469","2,537","1,323","1,611,430","2,925,668","48,258","12,668",818,818,551,37,0,0,"1,179","1,420"
SC,South Carolina,Blind,2013,29.62,8.45,250.29,47.9,50,10,2,28,13,41,7,13,41,13,"75,401","89,678",385,110,8,8,17,0,0,0,2,11
SC,South Carolina,General,2014,33.45,8.97,300.05,34.4,30,444,141,"1,939","2,013","3,952",375,"2,218","3,641","1,862","733,292","2,624,712","67,338","18,059","1,131","1,131",491,56,0,0,"1,045","1,989"
SC,South Carolina,Blind,2014,26.13,11.07,289.26,56.7,69.1,9,3,39,8,47,5,13,47,8,"143,862","31,726",209,89,4,4,15,0,0,0,1,7
SD,South Dakota,General,2014,28.84,9.13,263.31,27,32,166,54,162,293,455,55,303,447,289,"265,898","884,388","8,451","2,675",119,119,68,6,24,0,223,293
SD,South Dakota,Blind,2014,29.76,9.06,269.63,49.9,38.6,9,2,4,17,21,9,17,20,16,"18,248","128,278",506,154,8,8,3,0,0,0,1,17
SD,South Dakota,General,2013,30.31,9.12,276.43,27.1,29.9,164,55,178,307,485,75,338,485,307,"575,544","1,919,914","9,305","2,800",135,135,76,8,31,0,209,307
SD,South Dakota,Blind,2013,34.82,11.93,415.40,57.9,45.9,4,4,2,11,13,3,8,13,11,"53,817","191,770",383,131,7,7,3,0,1,0,2,11
SD,South Dakota,Blind,2012,32.43,9.97,323.33,41,58.6,7,2,8,7,15,4,8,15,7,"94,236","156,581",227,70,3,3,6,0,1,0,1,7
SD,South Dakota,General,2012,29.58,8.95,264.74,26.8,30,155,40,192,284,476,67,321,475,283,"544,976","1,665,653","8,401","2,540",119,119,100,3,33,0,216,284
SD,South Dakota,Blind,2011,30.82,11.33,349.19,49,45.7,8,3,6,11,17,7,17,17,11,"52,359","146,285",339,125,6,5,7,1,1,0,3,5
SD,South Dakota,General,2011,29.94,8.92,267.06,30.2,31.2,183,52,197,262,459,90,297,457,261,"634,312","1,444,336","7,844","2,337",117,117,123,16,30,0,208,137
SD,South Dakota,Blind,2010,32.73,12.5,409.13,22.8,39.3,9,3,4,11,15,7,12,15,11,"10,080","127,713",360,138,7,3,6,2,1,0,3,3
SD,South Dakota,General,2010,29.96,8.55,256.16,31.7,29.1,159,38,143,226,369,78,249,367,226,"397,147","2,027,406","6,772","1,932",100,100,129,20,28,0,185,114
SD,South Dakota,Blind,2009,33.63,9.53,320.49,49.7,25,6,4,11,8,19,6,14,19,8,"125,391","61,439",269,76,6,2,2,0,2,0,6,2
SD,South Dakota,General,2009,29.79,8.93,266.02,31.8,35.7,152,42,126,187,313,61,220,308,183,"391,531","1,264,047","5,570","1,671",84,84,124,12,22,0,158,94
SD,South Dakota,Blind,2008,44,12.4,545.60,40.7,63,9,5,1,10,11,9,15,11,10,"1,751","243,011",440,124,9,8,6,1,0,0,4,8
SD,South Dakota,General,2008,31.5,9.09,286.34,32.7,35.7,211,87,133,330,463,96,347,443,316,"433,020","2,041,143","10,396","3,000",172,168,104,11,31,3,179,191
SD,South Dakota,Blind,2007,38.44,9.3,357.49,40.3,46.5,9,5,7,16,23,9,16,22,15,"29,970","177,042",615,149,13,9,3,0,0,0,2,9
SD,South Dakota,General,2007,29.87,7.76,231.79,30.9,34.4,202,73,209,308,517,89,349,492,295,"539,338","2,079,099","9,200","2,391",142,141,107,19,29,8,136,157
SD,South Dakota,Blind,2006,35.45,10.97,388.89,44.8,53,6,4,10,11,21,4,14,21,11,"52,131","180,192",390,121,8,5,1,0,1,0,3,5
SD,South Dakota,General,2006,30.43,7.96,242.22,32.5,37,206,89,221,276,497,103,341,465,256,"695,209","1,639,530","8,400","2,197",142,139,151,11,45,0,172,152
SD,South Dakota,Blind,2005,38.57,9.29,358.32,37.8,50.9,5,2,10,7,17,7,11,15,5,"83,606","59,058",270,65,6,3,0,0,0,0,0,0
SD,South Dakota,General,2005,31.15,7.94,247.33,38,40.9,225,85,227,280,507,94,311,456,246,"577,902","1,476,322","8,723","2,224",147,145,0,0,0,0,0,0
SD,South Dakota,Blind,2004,30.89,7.16,221.17,47.4,57.8,3,5,6,9,15,3,8,15,9,"47,458","100,010",278,64,6,4,0,0,0,0,0,0
SD,South Dakota,General,2004,32.33,7.74,250.23,34.4,31.9,209,91,161,253,414,90,291,373,221,"369,966","1,237,461","8,179","1,957",143,137,0,0,0,0,0,0
SD,South Dakota,General,2002,32.79,7.82,256.42,29.9,34.4,219,106,143,305,448,74,349,331,230,"272,439","1,581,386","10,031","2,397",183,181,0,0,0,0,0,0
SD,South Dakota,Blind,2002,32.42,10.19,330.36,22,51.4,6,5,3,12,15,4,12,11,9,"14,390","238,875",389,122,8,6,0,0,0,0,0,0
SD,South Dakota,General,2003,32.16,7.88,253.42,30.9,33.6,212,97,155,251,406,82,287,355,214,"310,648","1,535,903","8,071","1,978",135,135,0,0,0,0,0,0
SD,South Dakota,Blind,2003,35,11.92,417.20,51.1,54.4,2,2,6,5,11,3,5,11,5,"39,656","104,615",175,60,4,4,0,0,0,0,0,0
TN,Tennessee,Combined,2003,34.84,8.92,310.77,43.5,45.9,"1,623",858,"1,257","2,160","3,417",438,"2,106","2,887","1,764","2,649,741","12,002,184","75,260","19,272","1,540","1,491",0,0,0,0,0,0
TN,Tennessee,Combined,2002,35.56,8.54,303.68,32.2,40,"1,934","1,157","1,191","2,764","3,955",455,"2,753","3,225","2,186","2,356,324","11,870,054","98,741","23,700","2,062","2,011",0,0,0,0,0,0
TN,Tennessee,Combined,2004,34.49,9.69,334.21,50.5,53.9,"1,621","1,007",819,"2,383","3,202",461,"2,276","2,731","1,971","2,085,473","16,576,448","82,191","23,081","1,702","1,674",0,0,0,0,0,0
TN,Tennessee,Combined,2005,33.93,9.79,332.17,48.5,58.3,"1,222",914,533,"2,122","2,655",372,"1,987","2,258","1,755","1,540,662","18,125,190","72,010","20,776","1,461","1,444",0,0,0,0,0,0
TN,Tennessee,Combined,2006,32.92,10.38,341.71,55,59.8,"1,110",807,619,"1,734","2,353",362,"1,619","2,062","1,475","2,180,830","16,930,646","57,090","18,003","1,120","1,101","1,476",8,128,620,686,"1,246"
TN,Tennessee,Combined,2007,32.59,10.48,341.54,60.5,65,976,648,718,"1,588","2,306",319,"1,459","2,068","1,396","2,679,354","17,187,157","51,757","16,647",998,975,841,22,99,984,557,"1,082"
TN,Tennessee,Combined,2008,31.57,10.77,340.01,77.9,66.2,"1,356",476,"2,490","1,361","3,851",538,"1,297","3,571","1,223","10,145,057","14,780,146","42,962","14,662",805,782,879,39,194,877,"1,596",875
TN,Tennessee,Combined,2009,29.25,10.21,298.64,59.9,66.9,668,268,697,977,"1,674",282,851,"1,575",899,"3,455,662","10,973,437","28,578","9,975",488,481,824,33,94,166,"1,278",564
TN,Tennessee,Combined,2010,28.97,10.13,293.47,56.3,59.7,926,196,794,797,"1,591",369,779,"1,504",738,"3,738,907","8,434,652","23,089","8,075",370,365,952,37,155,99,"2,446",429
TN,Tennessee,Combined,2011,29,9.84,285.36,59.9,56.3,489,200,999,825,"1,824",201,694,"1,729",758,"5,906,526","8,481,632","23,926","8,118",366,358,910,83,185,105,"1,103",460
TN,Tennessee,Combined,2012,29.86,9.87,294.72,61.5,57,428,227,"1,016",934,"1,950",187,751,"1,834",862,"5,221,303","9,702,028","27,893","9,221",451,451,837,93,120,136,738,915
TN,Tennessee,Combined,2013,28.25,9.33,263.57,59.9,51.8,458,171,654,960,"1,614",172,802,"1,530",901,"4,268,834","10,231,450","27,118","8,956",395,395,696,88,109,207,"1,598",937
TN,Tennessee,Combined,2014,27.73,9.31,258.17,65.4,47.3,500,160,643,"1,006","1,649",203,865,"1,590",959,"2,927,659","7,485,024","27,892","9,367",393,393,340,30,168,28,"2,159",980
TX,Texas,General,2014,29.63,9.8,290.37,36.8,34,"1,268",266,"2,379","3,640","6,019",671,"3,434","5,691","3,426","9,694,340","31,109,621","107,852","35,666","1,522","1,522","1,625",123,0,0,"2,359","3,638"
TX,Texas,Blind,2014,28.55,11.32,323.19,68.5,66.2,60,15,97,127,224,42,123,205,116,"882,340","1,973,297","3,626","1,438",61,61,66,9,0,0,29,120
TX,Texas,Blind,2012,27.63,10.69,295.36,64.6,65.3,60,13,135,134,269,46,104,269,134,"1,556,216","2,402,665","3,702","1,433",64,64,99,4,2,0,48,118
TX,Texas,General,2012,30,9.67,290.10,34.6,32.1,"1,476",231,"3,168","3,042","6,210",806,"3,144","5,839","2,826","11,598,674","24,098,570","91,270","29,426","1,322","1,322","1,804",138,0,0,"2,595","3,040"
TX,Texas,General,2013,29.85,9.87,294.62,37,34.3,"1,301",242,"3,036","3,220","6,256",728,"3,221","5,883","2,995","11,833,534","28,024,305","96,104","31,776","1,410","1,410","1,582",140,0,0,"2,328","3,219"
TX,Texas,Blind,2013,29.48,11.71,345.21,64.6,73.2,58,10,130,124,254,45,118,251,124,"1,438,367","2,424,084","3,655","1,451",55,55,78,8,0,0,32,119
TX,Texas,Blind,2011,28.12,9.38,263.77,57.8,72,63,13,107,124,231,49,94,230,124,"1,096,495","2,456,953","3,487","1,164",66,31,90,6,0,0,35,32
TX,Texas,General,2011,30.18,9.58,289.12,32.2,31.2,"1,580",235,"3,037","2,836","5,873",997,"3,041","5,454","2,604","10,126,897","23,608,668","85,586","27,157","1,311","1,304","2,049",159,0,0,"2,771","1,649"
TX,Texas,Blind,2010,31.77,10.08,320.24,56.9,58.3,76,12,120,124,244,69,101,244,124,"892,043","1,891,806","3,939","1,250",72,37,108,1,3,0,58,39
TX,Texas,General,2010,29.71,9.56,284.03,31.1,30.8,"1,787",290,"3,066","2,721","5,787","1,050","3,050","5,373","2,478","9,039,377","20,286,458","80,834","26,008","1,211","1,209","2,332",143,0,0,"2,668","1,572"
TX,Texas,Blind,2009,32.65,12.18,397.68,62.3,64,79,8,111,129,240,66,100,239,129,"1,056,393","2,045,378","4,212","1,571",80,48,126,0,1,0,30,52
TX,Texas,General,2009,31.25,9.41,294.06,30.5,31.8,"2,101",375,"3,287","2,895","6,182","1,201","3,278","5,743","2,678","8,848,349","19,883,071","90,480","27,229","1,474","1,467","2,339",134,0,0,"2,303","1,833"
TX,Texas,Blind,2008,32.5,11.09,360.43,58.2,66.4,64,18,118,149,267,50,122,267,149,"1,085,876","2,320,159","4,843","1,652",99,54,75,0,4,0,37,57
TX,Texas,General,2008,32.35,9.19,297.30,31.9,31.7,"2,094",412,"3,042","2,911","5,953","1,217","3,230","5,531","2,681","8,148,544","17,566,002","94,173","26,754","1,631","1,609","2,604",129,0,0,"2,310","1,926"
TX,Texas,Blind,2007,32.34,10.15,328.25,67.9,61.1,54,10,127,135,262,47,115,262,135,"1,064,939","1,690,368","4,366","1,370",91,51,93,1,1,0,48,54
TX,Texas,General,2007,33.18,9.04,299.95,31.4,31.3,"1,971",369,"2,665","2,547","5,212","1,108","2,951","4,843","2,355","6,795,840","12,461,410","84,514","23,034","1,516","1,468","2,409",151,0,0,"1,927","1,745"
TX,Texas,Blind,2006,30.68,9.56,293.30,58,71.9,65,15,134,108,242,51,86,241,108,"762,127","1,848,784","3,313","1,032",63,40,102,4,3,0,38,43
TX,Texas,General,2006,33.65,8.94,300.83,31.2,31,"2,113",412,"2,856","2,774","5,630","1,287","3,228","5,218","2,554","6,855,820","12,750,768","93,340","24,803","1,718","1,697","2,571",86,0,0,"1,692","2,044"
TX,Texas,Blind,2005,30.82,8.89,273.99,52.8,53.8,78,13,125,120,245,69,91,245,120,"548,882","1,380,006","3,698","1,067",63,28,0,0,0,0,0,0
TX,Texas,General,2005,34.11,8.56,291.98,27.1,28.9,"2,324",450,"3,254","2,943","6,197","1,464","3,500","5,610","2,649","6,286,752","11,639,675","100,392","25,202","1,874","1,855",0,0,0,0,0,0
TX,Texas,Blind,2004,31.39,9.68,303.86,55,52.2,84,16,114,114,228,75,97,228,114,"494,559","1,140,365","3,579","1,104",69,36,0,0,0,0,0,0
TX,Texas,General,2004,34.83,8.62,300.23,26.6,27,"4,144",686,"9,566","3,550","13,116","2,695","5,476","11,563","3,111","15,392,377","12,794,858","123,630","30,591","2,434","2,410",0,0,0,0,0,0
TX,Texas,General,2002,35.62,8.34,297.07,25.8,25.6,"3,491","1,350","4,498","4,703","9,201","2,475","6,322","7,995","3,895","7,549,934","14,641,868","217,023","50,584","4,131","3,425",0,0,0,0,0,0
TX,Texas,Blind,2002,31.24,8.45,263.98,49,46.6,94,62,169,112,281,68,94,281,112,"781,901","1,037,662","3,499",947,63,41,0,0,0,0,0,0
TX,Texas,General,2003,35,8.43,295.05,23.9,25.1,"3,564",805,"4,761","3,902","8,663","2,502","4,990","7,599","3,330","6,884,013","13,145,852","136,576","32,891","2,712","2,689",0,0,0,0,0,0
TX,Texas,Blind,2003,27.96,8.31,232.35,56.1,59.2,86,0,147,139,286,74,105,285,138,"704,173","1,534,752","3,886","1,155",75,43,0,0,0,0,0,0
UT,Utah,Combined,2003,33.67,9.31,313.47,33.4,37.5,564,423,617,894,"1,511",333,831,"1,293",754,"1,387,674","4,355,762","30,101","8,323",598,592,0,0,0,0,0,0
UT,Utah,Combined,2002,33.37,9.06,302.33,31.6,37.9,602,489,630,979,"1,609",364,881,"1,314",791,"1,234,975","4,502,166","33,864","9,143",683,656,0,0,0,0,0,0
UT,Utah,Combined,2004,34.53,9.06,312.84,33.1,40,634,398,606,874,"1,480",434,830,"1,325",761,"1,535,151","4,173,956","30,176","7,915",618,614,0,0,0,0,0,0
